sample_idx,model_type,rel_l2,pde_residual
93,PI-FNO,0.5965651869773865,59.93720245361328
93,Data-Driven FNO,0.5902912616729736,118.66675567626953
94,PI-FNO,0.5023300647735596,43.16949462890625
94,Data-Driven FNO,0.4938078224658966,83.92840576171875
95,PI-FNO,0.45275261998176575,187.96640014648438
95,Data-Driven FNO,0.4636910557746887,203.60813903808594
96,PI-FNO,0.8517138957977295,14.811279296875
96,Data-Driven FNO,0.8420294523239136,27.130817413330078
97,PI-FNO,0.4894896149635315,121.4952621459961
97,Data-Driven FNO,0.4353678524494171,169.27418518066406
98,PI-FNO,0.5677963495254517,9.951126098632812
98,Data-Driven FNO,0.5757251381874084,19.1087589263916
99,PI-FNO,0.37632060050964355,126.11597442626953
99,Data-Driven FNO,0.3884555399417877,246.38958740234375
100,PI-FNO,0.6344982385635376,32.952205657958984
100,Data-Driven FNO,0.6378951072692871,40.69147491455078
101,PI-FNO,0.5478184819221497,14.175004005432129
101,Data-Driven FNO,0.6023626923561096,22.602754592895508
102,PI-FNO,0.3147904872894287,60.776939392089844
102,Data-Driven FNO,0.31283101439476013,84.47002410888672
103,PI-FNO,0.31711632013320923,78.48339080810547
103,Data-Driven FNO,0.33903786540031433,142.05905151367188
104,PI-FNO,0.5808923244476318,30.050935745239258
104,Data-Driven FNO,0.5630351901054382,49.64453125
105,PI-FNO,0.5603005886077881,19.7747859954834
105,Data-Driven FNO,0.541642963886261,43.22865295410156
106,PI-FNO,0.46450889110565186,21.98845863342285
106,Data-Driven FNO,0.49647119641304016,38.744537353515625
107,PI-FNO,0.35650256276130676,29.45915412902832
107,Data-Driven FNO,0.3761920928955078,39.407928466796875
108,PI-FNO,0.6275316476821899,45.020347595214844
108,Data-Driven FNO,0.6789299249649048,74.72303771972656
109,PI-FNO,0.3591841757297516,33.898441314697266
109,Data-Driven FNO,0.3803008496761322,64.08316040039062
110,PI-FNO,0.3881346881389618,34.059757232666016
110,Data-Driven FNO,0.41026410460472107,61.942256927490234
111,PI-FNO,0.3475204408168793,45.12619400024414
111,Data-Driven FNO,0.3803097605705261,66.23756408691406
112,PI-FNO,0.42228198051452637,102.50491333007812
112,Data-Driven FNO,0.45100849866867065,140.78541564941406
113,PI-FNO,0.5360532999038696,207.29347229003906
113,Data-Driven FNO,0.5649335980415344,320.2962951660156
114,PI-FNO,0.7270295023918152,7.395712852478027
114,Data-Driven FNO,0.5326735973358154,16.468481063842773
115,PI-FNO,0.4712482988834381,37.017154693603516
115,Data-Driven FNO,0.43486541509628296,59.55830764770508
116,PI-FNO,0.34373077750205994,17.59940528869629
116,Data-Driven FNO,0.30832070112228394,34.98219680786133
117,PI-FNO,0.3481069803237915,158.618408203125
117,Data-Driven FNO,0.38795945048332214,203.14947509765625
118,PI-FNO,0.36466068029403687,43.81953430175781
118,Data-Driven FNO,0.3834437429904938,67.42366790771484
119,PI-FNO,0.48177483677864075,33.6085319519043
119,Data-Driven FNO,0.4584277272224426,57.85344314575195
120,PI-FNO,0.2237306386232376,190.66688537597656
120,Data-Driven FNO,0.26784294843673706,259.9713439941406
121,PI-FNO,0.5800556540489197,13.345660209655762
121,Data-Driven FNO,0.5986449718475342,27.560144424438477
122,PI-FNO,0.6930850148200989,80.02930450439453
122,Data-Driven FNO,0.6225441694259644,103.83460235595703
123,PI-FNO,0.5597956776618958,21.02750587463379
123,Data-Driven FNO,0.5075409412384033,31.188474655151367
124,PI-FNO,0.3200451135635376,86.20271301269531
124,Data-Driven FNO,0.3769872784614563,138.45787048339844
125,PI-FNO,0.6274383664131165,14.212982177734375
125,Data-Driven FNO,0.4186064600944519,18.165355682373047
126,PI-FNO,0.7126724123954773,29.75998878479004
126,Data-Driven FNO,0.7012794017791748,54.06924057006836
127,PI-FNO,0.40200570225715637,49.20407485961914
127,Data-Driven FNO,0.41378137469291687,85.9621353149414
128,PI-FNO,0.5382637977600098,53.188053131103516
128,Data-Driven FNO,0.5076032280921936,81.84872436523438
129,PI-FNO,0.3827454447746277,73.64054870605469
129,Data-Driven FNO,0.37810859084129333,122.61486053466797
130,PI-FNO,0.27901026606559753,186.8323516845703
130,Data-Driven FNO,0.3389217257499695,317.1024169921875
131,PI-FNO,0.2212858647108078,7.053516387939453
131,Data-Driven FNO,0.2869415581226349,11.78597640991211
132,PI-FNO,0.3782525956630707,23.24269676208496
132,Data-Driven FNO,0.42880046367645264,35.00705337524414
133,PI-FNO,0.42029905319213867,178.31710815429688
133,Data-Driven FNO,0.46017658710479736,315.93524169921875
134,PI-FNO,0.5502876043319702,27.744688034057617
134,Data-Driven FNO,0.5560173392295837,62.682090759277344
135,PI-FNO,0.30135008692741394,2.049636125564575
135,Data-Driven FNO,0.3759778141975403,4.1357421875
136,PI-FNO,0.2203516662120819,17.297649383544922
136,Data-Driven FNO,0.2562672793865204,26.603944778442383
137,PI-FNO,0.5730190873146057,9.542858123779297
137,Data-Driven FNO,0.5981811285018921,18.740381240844727
138,PI-FNO,0.8600273132324219,7.34879732131958
138,Data-Driven FNO,0.8264679312705994,13.981596946716309
139,PI-FNO,0.5778357982635498,27.40615463256836
139,Data-Driven FNO,0.5724404454231262,48.77470016479492
140,PI-FNO,0.48701390624046326,75.98262023925781
140,Data-Driven FNO,0.5079587697982788,127.6286849975586
141,PI-FNO,0.5948643088340759,102.48274993896484
141,Data-Driven FNO,0.5800065994262695,148.60504150390625
142,PI-FNO,0.6332047581672668,18.238941192626953
142,Data-Driven FNO,0.5739262700080872,39.73678970336914
143,PI-FNO,0.3576740324497223,49.71186065673828
143,Data-Driven FNO,0.3300289809703827,84.89148712158203
144,PI-FNO,0.5018473267555237,123.46183776855469
144,Data-Driven FNO,0.5344336628913879,230.38336181640625
145,PI-FNO,0.288648784160614,67.35281372070312
145,Data-Driven FNO,0.3290269672870636,124.00499725341797
146,PI-FNO,0.48401597142219543,5.022531986236572
146,Data-Driven FNO,0.45438989996910095,10.963103294372559
147,PI-FNO,0.2773149311542511,9.013618469238281
147,Data-Driven FNO,0.31282082200050354,16.202320098876953
148,PI-FNO,0.40597039461135864,100.25420379638672
148,Data-Driven FNO,0.3634558320045471,144.4404296875
149,PI-FNO,0.5345420241355896,185.1929931640625
